Local authority,Total streets,% of Wales total,% Welsh speakers,English only,Welsh only,Bilingual,Some Welsh element*
***WALES***,48906,100,29,48,18,6,15
BLAENAU,1059,2,18,32,7.7,21.5,7.6
GWENT,,,,,,,
BRIDGEND,2305,5,18,43.4,21.2,3.9,13.7
CAERPHILLY,3082,6,24,50.5,15.1,6.6,19.9
CARDIFF,3863,8,25,56.1,12.1,4.1,17.2
CARMARTHENSHIRE,2499,5,51,15.1,38.3,13.3,12
CEREDIGION,900,2,61,19.7,40.2,12.6,11.4
CONWY,2182,4,41,38.4,25.2,3.2,20.6
DENBIGHSHIRE,1589,3,35,37.5,32.2,5.5,16.2
FLINTSHIRE,2815,6,22,55,16.6,5.5,14.2
GWYNEDD,2222,5,75,6.9,36.5,9.9,7.2
ISLE OF ANGLESEY,1214,2,66,22.1,41.8,4.9,15.1
MERTHYR TYDFIL,1019,2,22,1.7,11.1,37.2,1.6
MONMOUTHSHIRE,2117,4,16,75.3,3.8,0.7,17.2
NEATH PORT TALBOT,2160,4,22,38.8,17.4,9.9,13.9
NEWPORT,2302,5,18,82.5,0.7,0,12.3
PEMBROKESHIRE,2102,4,29,81.7,9.4,0,6
POWYS,2158,4,26,48.7,23.1,4.1,15.7
RHONDDA CYNON TAF,3755,8,19,56.6,16.9,0.5,21.2
SWANSEA,3322,7,22,56.4,17.9,0.1,21.5
TORFAEN,1570,3,18,72.4,5.3,0.3,17.5
VALE OF GLAMORGAN,2102,4,21,71.1,10,0,13.7
WREXHAM,2568,5,24,20.7,11.9,27.6,5.3
,,,,,,,
Source: Analysis of Find My Street data and the Annual Population Survey Wales,,,,,,,